vulnerabilityCode,cveId,title,description,cvssScore,category,remediation,exploitAvailable,publishedAt,status,createdByCode
VULN-017,,Cross-Site Request Forgery,Sensitive actions can be triggered without verifying request authenticity.,6.5,WEB,Implement CSRF protections and secure SameSite cookie settings.,FALSE,2025-05-29,ACTIVE,USR-008
VULN-018,,Unrestricted File Upload,The application accepts potentially dangerous file uploads.,9.0,WEB,"Validate file signatures, extensions and size and store files securely.",TRUE,2025-06-05,ACTIVE,USR-009
VULN-019,,Directory Listing Enabled,The web server exposes directory contents to unauthenticated users.,5.0,WEB,Disable directory listing and restrict access to sensitive directories.,FALSE,2025-06-13,ACTIVE,USR-001
VULN-020,,Sensitive Information in Error Messages,Application errors expose internal implementation or system information.,3.7,WEB,Return generic client errors and keep detailed errors only in server logs.,FALSE,2025-06-21,ACTIVE,USR-002
VULN-021,,Missing Security Headers,Web responses lack important browser security headers.,5.4,WEB,"Configure CSP, HSTS, frame protection and other appropriate security headers.",FALSE,2025-06-29,ACTIVE,USR-003
VULN-022,,Insecure CORS Configuration,Cross-origin requests are permitted from untrusted origins.,7.3,WEB,"Restrict allowed origins, methods and headers to trusted applications.",TRUE,2025-07-07,ACTIVE,USR-004
VULN-023,,HTTP Traffic Allowed,The service permits unencrypted HTTP connections.,6.8,CRYPTOGRAPHY,Redirect all traffic to HTTPS and disable insecure HTTP access where possible.,FALSE,2025-07-15,ACTIVE,USR-005
VULN-024,,Weak TLS Configuration,The service supports obsolete or insecure TLS configurations.,7.4,CRYPTOGRAPHY,Disable deprecated protocols and weak cipher suites.,FALSE,2025-07-23,ACTIVE,USR-006
VULN-025,,Expired TLS Certificate,A production service uses an expired digital certificate.,6.2,CRYPTOGRAPHY,Renew the certificate and implement certificate expiration monitoring.,FALSE,2025-08-01,ACTIVE,USR-007
VULN-026,,Self-Signed Certificate in Production,A production service uses an untrusted self-signed certificate.,5.9,CRYPTOGRAPHY,Replace it with a certificate issued by an approved certificate authority.,FALSE,2025-08-09,ACTIVE,USR-008
VULN-027,,Weak Cryptographic Algorithm,Sensitive information is protected using an obsolete cryptographic algorithm.,7.5,CRYPTOGRAPHY,Migrate to currently recommended cryptographic algorithms and key sizes.,FALSE,2025-08-17,ACTIVE,USR-009
VULN-028,,Hardcoded Cryptographic Key,A cryptographic key is embedded directly in application source code.,8.7,CRYPTOGRAPHY,Store secrets in a dedicated secrets manager and rotate the exposed key.,TRUE,2025-08-25,ACTIVE,USR-001
VULN-029,,Unencrypted Sensitive Data,Sensitive information is stored without encryption.,8.2,CRYPTOGRAPHY,Encrypt sensitive data at rest using appropriate key management.,FALSE,2025-09-02,ACTIVE,USR-002
VULN-030,,Insecure Random Number Generation,Security-sensitive values are generated using a predictable random source.,7.0,CRYPTOGRAPHY,Use a cryptographically secure random number generator.,FALSE,2025-09-10,ACTIVE,USR-003
VULN-031,,Open Administrative Port,A management service is reachable from networks that do not require access.,8.4,NETWORK,Restrict the management port using firewall rules and network segmentation.,TRUE,2025-09-18,ACTIVE,USR-004
VULN-032,,Unnecessary Network Service,The device exposes a network service that is not required for business operations.,5.8,NETWORK,Disable unnecessary services and close unused network ports.,FALSE,2025-09-26,ACTIVE,USR-005
VULN-033,,Insecure Remote Management Protocol,A device permits administration using an insecure network protocol.,8.0,NETWORK,Replace insecure management protocols with encrypted alternatives such as SSH.,TRUE,2025-10-04,ACTIVE,USR-006
VULN-034,,Network Segmentation Failure,Sensitive infrastructure is insufficiently isolated from general user networks.,8.6,NETWORK,Implement network segmentation and enforce traffic controls between zones.,FALSE,2025-10-12,ACTIVE,USR-007
VULN-035,,Firewall Rule Too Permissive,A firewall rule permits a broader range of traffic than necessary.,7.7,NETWORK,"Restrict source, destination, port and protocol according to least privilege.",FALSE,2025-10-20,ACTIVE,USR-008
VULN-036,,SNMP Community String Exposed,A network device uses an insecure or predictable SNMP community string.,7.5,NETWORK,Use SNMPv3 and replace default or weak community strings.,TRUE,2025-10-28,ACTIVE,USR-009
VULN-037,,Wireless Network Uses Weak Encryption,A wireless network permits an outdated encryption standard.,7.1,NETWORK,Configure WPA2-AES or WPA3 and disable obsolete wireless security protocols.,FALSE,2025-11-05,ACTIVE,USR-001
VULN-038,,DNS Recursion Exposed,A DNS server allows unrestricted recursive queries from external networks.,6.5,NETWORK,Restrict recursive DNS queries to authorized internal clients.,TRUE,2025-11-13,ACTIVE,USR-002
VULN-039,,Missing Network Access Control,Unauthorized devices can connect to internal network segments.,6.8,NETWORK,Implement network access control and device authentication.,FALSE,2025-11-21,ACTIVE,USR-003
VULN-040,,Insecure VPN Configuration,The remote access VPN uses weak authentication or cryptographic settings.,8.1,NETWORK,"Enforce strong encryption, MFA and secure VPN authentication policies.",FALSE,2025-11-29,ACTIVE,USR-004
VULN-041,,Unpatched Operating System,The operating system is missing security updates for known vulnerabilities.,8.8,OPERATING_SYSTEM,Apply current vendor security patches and establish a regular patching process.,TRUE,2025-12-07,ACTIVE,USR-005
VULN-042,,Unsupported Operating System,The asset runs an operating system that no longer receives security updates.,9.1,OPERATING_SYSTEM,Migrate the system to a currently supported operating system version.,TRUE,2025-12-15,ACTIVE,USR-006
VULN-043,,Unnecessary Privileged Service,A system service runs with higher privileges than required.,7.2,OPERATING_SYSTEM,Configure the service to run with the minimum permissions necessary.,FALSE,2025-12-23,ACTIVE,USR-007
VULN-044,,Insecure File Permissions,Sensitive system files can be modified or read by unauthorized users.,7.6,OPERATING_SYSTEM,Restrict filesystem permissions according to least privilege.,TRUE,2026-01-04,ACTIVE,USR-008
VULN-045,,Root Login Enabled,Direct remote authentication using the root account is permitted.,8.1,OPERATING_SYSTEM,Disable direct root login and require privileged elevation through controlled accounts.,FALSE,2026-01-12,ACTIVE,USR-009
VULN-046,,Audit Logging Disabled,The operating system does not record sufficient security-relevant activity.,6.1,OPERATING_SYSTEM,Enable system audit logging and forward important events to centralized monitoring.,FALSE,2026-01-20,ACTIVE,USR-001
VULN-047,,Host Firewall Disabled,The local operating system firewall is disabled or inadequately configured.,7.8,OPERATING_SYSTEM,Enable the host firewall and allow only required inbound and outbound traffic.,FALSE,2026-01-28,ACTIVE,USR-002
VULN-048,,World-Writable System Directory,A system directory allows modifications by unprivileged users.,8.4,OPERATING_SYSTEM,Remove unnecessary write permissions and review directory ownership.,TRUE,2026-02-05,ACTIVE,USR-003
VULN-049,,Insecure Scheduled Task,A scheduled system task executes scripts or binaries from an insecure location.,7.7,OPERATING_SYSTEM,Restrict task permissions and ensure executed files cannot be modified by unauthorized users.,TRUE,2026-02-13,ACTIVE,USR-004
VULN-050,,Exposed System Information,System configuration reveals unnecessary operating system and version information.,3.5,OPERATING_SYSTEM,Reduce exposed system banners and unnecessary version information.,FALSE,2026-02-09,ACTIVE,USR-005
VULN-051,,Outdated Application Dependency,An application uses a dependency with known security weaknesses.,8.3,DEPENDENCY,Update the affected dependency to a supported and secure version.,TRUE,2026-02-18,ACTIVE,USR-006
VULN-052,,Dependency with Known Exploit,A third-party package has a publicly available exploit.,9.4,DEPENDENCY,Upgrade or replace the vulnerable dependency immediately.,TRUE,2026-03-09,ACTIVE,USR-007
VULN-053,,Unsupported Software Library,A software library is no longer maintained by its vendor or community.,7.5,DEPENDENCY,Replace the unsupported library with an actively maintained alternative.,FALSE,2026-03-17,ACTIVE,USR-008
VULN-054,,Unpinned Dependency Version,Application dependencies are installed without fixed or controlled versions.,5.4,DEPENDENCY,Pin dependency versions and maintain an approved lock file.,FALSE,2026-02-17,ACTIVE,USR-009
VULN-055,,Unverified Third-Party Package,A dependency is retrieved without validating its integrity or origin.,7.9,DEPENDENCY,Verify package integrity and use trusted package repositories.,TRUE,2026-04-02,ACTIVE,USR-001
VULN-056,,Dependency Vulnerability Scanning Disabled,The development pipeline does not scan third-party dependencies for known vulnerabilities.,6.3,DEPENDENCY,Integrate automated software composition analysis into the development pipeline.,FALSE,2026-03-23,ACTIVE,USR-002
VULN-057,,Abandoned JavaScript Package,The application relies on an abandoned third-party JavaScript package.,6.8,DEPENDENCY,Replace the abandoned package with a maintained and reviewed alternative.,FALSE,2026-01-19,ACTIVE,USR-003
VULN-058,,Transitive Dependency Vulnerability,A vulnerable package is indirectly introduced through another dependency.,7.6,DEPENDENCY,Update the parent dependency or override the vulnerable transitive package.,TRUE,2026-04-26,ACTIVE,USR-004
VULN-059,,Development Dependency in Production,A development-only package with unnecessary functionality is deployed in production.,5.6,DEPENDENCY,Exclude development dependencies from production builds.,FALSE,2026-02-24,ACTIVE,USR-005
VULN-060,,Package Integrity Check Missing,The deployment process does not verify package checksums or signatures.,6.6,DEPENDENCY,Verify package signatures or cryptographic checksums during deployment.,FALSE,2026-05-12,ACTIVE,USR-006
VULN-061,,Debug Mode Enabled,Debug functionality is enabled in a production environment.,7.5,CONFIGURATION,Disable debug mode and detailed diagnostic output in production.,TRUE,2026-04-25,ACTIVE,USR-007
VULN-062,,Verbose Error Logging,Sensitive information may be recorded in application or system logs.,6.4,CONFIGURATION,Remove secrets and personal information from logs and implement log filtering.,FALSE,2026-02-21,ACTIVE,USR-008
VULN-063,,Default Service Configuration,A service remains configured with insecure vendor defaults.,7.0,CONFIGURATION,Apply an approved security baseline and disable unnecessary default features.,FALSE,2026-06-05,ACTIVE,USR-009
VULN-064,,Exposed Configuration File,A configuration file containing sensitive information is accessible to unauthorized users.,8.5,CONFIGURATION,Restrict access to configuration files and remove secrets from exposed locations.,TRUE,2026-06-13,ACTIVE,USR-001
VULN-065,,Hardcoded Application Secret,Application source code contains credentials or sensitive secrets.,9.0,CONFIGURATION,"Remove embedded secrets, rotate them and store future secrets in a secure vault.",TRUE,2026-06-21,ACTIVE,USR-002
VULN-066,,Insecure Environment Variables,Sensitive environment variables are exposed to unauthorized processes or users.,7.7,CONFIGURATION,Restrict access to environment configuration and use a secrets management solution.,FALSE,2026-05-28,ACTIVE,USR-003
VULN-067,,Unused Administrative Account,An unnecessary administrative account remains enabled.,7.2,CONFIGURATION,Disable unused privileged accounts and regularly review account inventories.,FALSE,2026-03-26,ACTIVE,USR-004
VULN-068,,Security Logging Misconfiguration,Security events are generated but are not correctly collected or retained.,6.9,CONFIGURATION,Configure centralized logging with appropriate retention and monitoring policies.,FALSE,2026-01-22,ACTIVE,USR-005
VULN-069,,Missing Backup Encryption,System backups containing sensitive information are stored without encryption.,8.0,CONFIGURATION,Encrypt backup data and protect associated encryption keys.,FALSE,2026-07-08,ACTIVE,USR-006
VULN-070,,Backup Restoration Not Tested,Backups exist but restoration procedures are not periodically validated.,5.5,CONFIGURATION,Perform scheduled restoration tests and document recovery results.,FALSE,2026-03-11,ACTIVE,USR-007
VULN-071,,Public Cloud Storage Bucket,A cloud storage resource permits unauthorized public access.,9.5,CONFIGURATION,Disable public access and enforce identity-based access controls.,TRUE,2026-08-02,ACTIVE,USR-008
VULN-072,,Cloud Security Group Too Permissive,A cloud firewall rule allows access from unrestricted network ranges.,8.8,NETWORK,Restrict security group rules to approved source networks and required ports.,TRUE,2026-04-28,ACTIVE,USR-009
VULN-073,,Publicly Exposed Cloud Database,A managed cloud database is accessible directly from the public internet.,9.3,DATABASE,Move the database to private networking and restrict inbound connectivity.,TRUE,2026-02-24,ACTIVE,USR-001
VULN-074,,Cloud Administrator Without MFA,A highly privileged cloud account does not require multi-factor authentication.,9.2,AUTHENTICATION,Require phishing-resistant multi-factor authentication for privileged cloud identities.,FALSE,2026-08-03,ACTIVE,USR-002
VULN-075,,Overprivileged Cloud Identity,A cloud identity has permissions substantially beyond its operational requirements.,8.4,ACCESS_CONTROL,Review permissions and apply least-privilege cloud roles.,FALSE,2026-07-14,ACTIVE,USR-003
VULN-076,,Cloud Access Key Not Rotated,A long-lived cloud access key has not been rotated according to security policy.,7.3,AUTHENTICATION,Rotate the key and migrate workloads to short-lived credentials where possible.,FALSE,2026-03-19,ACTIVE,USR-004
VULN-077,,Secret Stored in Cloud Metadata,Sensitive credentials are exposed through instance or workload metadata.,8.7,CONFIGURATION,Remove secrets from metadata and use the cloud provider secrets management service.,TRUE,2026-05-31,ACTIVE,USR-005
VULN-078,,Cloud Audit Trail Disabled,Administrative cloud activity is not fully recorded for security monitoring.,7.1,CONFIGURATION,Enable cloud audit logging across all regions and protected services.,FALSE,2026-03-29,ACTIVE,USR-006
VULN-079,,Unencrypted Cloud Storage,Cloud-hosted sensitive information is stored without encryption at rest.,8.1,CRYPTOGRAPHY,Enable encryption at rest and manage encryption keys securely.,FALSE,2026-01-25,ACTIVE,USR-007
VULN-080,,Inactive Cloud Resource Exposed,An unused cloud resource remains publicly reachable and unmanaged.,6.7,CONFIGURATION,Remove or isolate unused resources and include them in regular asset reviews.,FALSE,2026-08-29,ARCHIVED,USR-008
VULN-081,,Missing API Authentication,A sensitive API endpoint can be accessed without requiring authentication.,9.1,AUTHENTICATION,Require authentication for all sensitive API endpoints and validate credentials server-side.,TRUE,2026-07-17,ACTIVE,USR-009
VULN-082,,Broken API Authorization,Authenticated API users can perform operations outside their assigned permissions.,9.4,ACCESS_CONTROL,Implement authorization checks for every protected API operation.,TRUE,2026-08-25,ACTIVE,USR-001
VULN-083,,API Rate Limiting Missing,The API does not restrict excessive request volumes from individual clients.,6.8,WEB,Implement rate limiting and appropriate abuse protection on exposed API endpoints.,FALSE,2026-07-09,ACTIVE,USR-002
VULN-084,,Sensitive API Data Exposure,An API response returns more sensitive information than required by the client.,7.6,WEB,Minimize API response data and explicitly select fields permitted for each client.,FALSE,2026-05-01,ACTIVE,USR-003
VULN-085,,API Input Validation Missing,API input is processed without sufficient server-side validation.,8.2,WEB,Validate and sanitize all API input using strict server-side schemas.,TRUE,2026-02-27,ACTIVE,USR-004
VULN-086,,API Version Exposes Legacy Endpoint,An obsolete API version remains accessible and contains weaker security controls.,7.3,WEB,Disable unsupported API versions and migrate clients to maintained endpoints.,FALSE,2026-08-05,ACTIVE,USR-005
VULN-087,,Insecure JWT Validation,The application does not correctly validate all security properties of JSON Web Tokens.,9.0,AUTHENTICATION,"Validate token signatures, expiration, issuer and permitted algorithms.",TRUE,2026-07-20,ACTIVE,USR-006
VULN-088,,Long-Lived Authentication Token,Authentication tokens remain valid significantly longer than necessary.,6.4,AUTHENTICATION,Reduce token lifetime and implement a secure token renewal mechanism.,FALSE,2026-03-27,ACTIVE,USR-007
VULN-089,,Session Token Exposed in URL,A sensitive authentication token is included in a URL and may be recorded in logs or history.,8.0,AUTHENTICATION,Transmit authentication tokens using secure headers or protected cookies instead of URLs.,FALSE,2026-09-02,ACTIVE,USR-008
VULN-090,,Missing Logout Token Revocation,Authentication tokens remain usable after a user explicitly logs out.,6.6,AUTHENTICATION,Implement appropriate token invalidation or short-lived session mechanisms.,FALSE,2026-04-01,ACTIVE,USR-009
VULN-091,,Container Running as Root,A production container executes its application processes with root privileges.,8.1,CONFIGURATION,Configure the container to run as a dedicated non-root user.,TRUE,2026-01-28,ACTIVE,USR-001
VULN-092,,Privileged Container Enabled,A container is granted privileged access to the underlying host.,9.3,CONFIGURATION,Remove privileged mode and grant only explicitly required capabilities.,TRUE,2026-08-06,ACTIVE,USR-002
VULN-093,,Container Image Uses Outdated Base,The deployed container image is built from an outdated base image containing known weaknesses.,8.4,DEPENDENCY,Update the base image and rebuild the container using current security patches.,TRUE,2026-07-23,ACTIVE,USR-003
VULN-094,,Container Image Not Scanned,Container images are deployed without automated vulnerability assessment.,6.2,DEPENDENCY,Integrate container image vulnerability scanning into the build and deployment pipeline.,FALSE,2026-07-25,ACTIVE,USR-004
VULN-095,,Container Secret Embedded in Image,A credential or sensitive secret is stored directly inside a container image layer.,9.2,CONFIGURATION,Remove and rotate the exposed secret and inject future secrets securely at runtime.,TRUE,2026-09-04,ACTIVE,USR-005
VULN-096,,Container Registry Publicly Accessible,A private container registry permits unauthorized public access.,8.8,ACCESS_CONTROL,Restrict registry access and require authenticated authorization for image operations.,TRUE,2026-03-02,ACTIVE,USR-006
VULN-097,,Kubernetes Dashboard Exposed,The Kubernetes administration dashboard is reachable from an untrusted network.,9.1,NETWORK,Restrict dashboard access to trusted administrative networks and require strong authentication.,TRUE,2026-08-07,ACTIVE,USR-007
VULN-098,,Kubernetes Excessive RBAC Permissions,A Kubernetes account or service account has unnecessarily broad cluster permissions.,8.6,ACCESS_CONTROL,Review RBAC assignments and apply least-privilege roles and bindings.,FALSE,2026-08-28,ACTIVE,USR-008
VULN-099,,Kubernetes Secret Poorly Protected,Sensitive Kubernetes secrets are insufficiently protected from unauthorized access.,8.5,CONFIGURATION,Restrict secret access and enable appropriate encryption and external secrets management.,TRUE,2026-07-26,ACTIVE,USR-009
VULN-100,,Unrestricted Container Network Policy,Container workloads can communicate across network boundaries without sufficient restrictions.,7.7,NETWORK,Implement network policies restricting traffic between workloads to required communication only.,FALSE,2026-09-05,ACTIVE,USR-001
VULN-101,,CI Pipeline Secret Exposure,A continuous integration pipeline exposes credentials through build output or configuration.,9.0,CONFIGURATION,"Remove exposed credentials, rotate them and use protected CI secret storage.",TRUE,2026-09-05,ACTIVE,USR-002
VULN-102,,Untrusted Code Executed in CI,The build pipeline can execute code from untrusted contributions with excessive permissions.,9.3,ACCESS_CONTROL,Isolate untrusted builds and restrict access to credentials and privileged runners.,TRUE,2026-01-31,ACTIVE,USR-003
VULN-103,,CI Runner Overprivileged,A continuous integration runner has unnecessary administrative access to infrastructure.,8.5,ACCESS_CONTROL,Reduce runner permissions and isolate build environments according to least privilege.,FALSE,2026-08-08,ACTIVE,USR-004
VULN-104,,Unsigned Deployment Artifact,The deployment process does not verify the authenticity of application artifacts.,7.2,CONFIGURATION,Sign release artifacts and verify signatures before deployment.,FALSE,2026-07-31,ACTIVE,USR-005
VULN-105,,Production Deployment Without Approval,Production changes can be deployed without an explicit authorization step.,6.9,ACCESS_CONTROL,Require protected deployment environments and authorized approval for production releases.,FALSE,2026-07-29,ACTIVE,USR-006
VULN-106,,Source Repository Secret Exposure,A source code repository contains a credential or sensitive secret.,9.1,CONFIGURATION,"Remove the secret from repository history, rotate it and enable automated secret scanning.",TRUE,2026-09-06,ACTIVE,USR-007
VULN-107,,Repository Branch Protection Missing,Critical source branches can be modified without review or protection rules.,6.5,ACCESS_CONTROL,"Enable branch protection, mandatory reviews and restricted direct pushes.",FALSE,2026-05-07,ACTIVE,USR-008
VULN-108,,Dependency Update Process Missing,Application dependencies are not regularly reviewed or updated.,6.1,DEPENDENCY,Implement automated dependency update monitoring and a regular patch management process.,FALSE,2026-03-05,ACTIVE,USR-009
VULN-109,,Security Scanner Credentials Exposed,Credentials used by a security scanning tool are insufficiently protected.,8.3,CONFIGURATION,Rotate exposed credentials and store scanner secrets using a secure secrets management service.,TRUE,2026-08-09,ACTIVE,USR-001
VULN-110,,Vulnerability Scanner Coverage Gap,Critical assets are excluded from scheduled vulnerability assessment.,6.7,CONFIGURATION,Update scanner scope to include all active and security-relevant assets.,FALSE,2026-08-30,ACTIVE,USR-002
VULN-111,,SIEM Log Source Missing,A critical system does not forward security events to centralized monitoring.,7.0,CONFIGURATION,Configure the asset to forward required security logs to the SIEM platform.,FALSE,2026-08-01,ACTIVE,USR-003
VULN-112,,Security Alerts Not Monitored,Security alerts are generated but are not actively reviewed or routed to responsible personnel.,7.4,CONFIGURATION,"Configure alert ownership, escalation and monitoring procedures.",FALSE,2026-09-08,ACTIVE,USR-004
VULN-113,,Log Retention Too Short,Security logs are retained for insufficient time to support investigations.,5.7,CONFIGURATION,Increase security log retention according to organizational and regulatory requirements.,FALSE,2026-04-07,ACTIVE,USR-005
VULN-114,,System Clock Not Synchronized,"A system clock is not synchronized with an approved time source, reducing log reliability.",3.4,CONFIGURATION,Configure secure and reliable time synchronization using approved NTP sources.,FALSE,2026-02-03,ACTIVE,USR-006
VULN-115,,Endpoint Protection Disabled,Endpoint security protection is disabled on an active workstation or server.,8.3,OPERATING_SYSTEM,Enable endpoint protection and prevent unauthorized users from disabling security controls.,TRUE,2026-08-10,ACTIVE,USR-007
VULN-116,,Malware Definitions Outdated,The endpoint protection engine uses outdated malware detection signatures.,7.0,OPERATING_SYSTEM,Update protection signatures automatically and monitor endpoint security health.,FALSE,2026-08-31,ACTIVE,USR-008
VULN-117,,Removable Media Unrestricted,Users can connect unmanaged removable storage devices to sensitive systems.,6.2,ACCESS_CONTROL,Restrict removable media usage and enforce approved device policies.,FALSE,2026-08-04,ACTIVE,USR-009
VULN-118,,Legacy Remote Access Service,An outdated remote access service remains enabled despite no longer being operationally required.,7.8,NETWORK,Disable the obsolete remote access service and use a supported secure alternative.,TRUE,2026-09-09,ARCHIVED,USR-001
VULN-119,,Security Baseline Not Applied,A system does not conform to the organization's approved security configuration baseline.,7.1,CONFIGURATION,Apply the approved security baseline and periodically verify configuration compliance.,FALSE,2026-05-10,ACTIVE,USR-002
VULN-120,,Asset Missing Security Owner,A critical technology asset does not have a clearly assigned security owner.,5.2,OTHER,Assign ownership and responsibility for security maintenance and vulnerability remediation.,FALSE,2026-03-08,ACTIVE,USR-003
